date,close
20/01/2009,48.44
21/01/2009,50.54
22/01/2009,49.94
23/01/2009,50.63
26/01/2009,49.63
27/01/2009,48.44
28/01/2009,50.36
29/01/2009,50.0
30/01/2009,58.82
02/02/2009,61.15
03/02/2009,63.59
04/02/2009,61.06
05/02/2009,63.18
06/02/2009,66.55
09/02/2009,66.71
10/02/2009,63.31
11/02/2009,64.35
12/02/2009,63.96
13/02/2009,63.26
17/02/2009,61.67
18/02/2009,62.35
19/02/2009,61.95
20/02/2009,63.86
23/02/2009,61.71
24/02/2009,65.6
25/02/2009,63.71
26/02/2009,62.34
27/02/2009,64.79
02/03/2009,61.99
03/03/2009,61.7
04/03/2009,64.81
05/03/2009,64.77
06/03/2009,61.69
09/03/2009,60.49
10/03/2009,65.71
11/03/2009,68.54
12/03/2009,69.58
13/03/2009,68.63
16/03/2009,66.98
17/03/2009,71.35
18/03/2009,71.25
19/03/2009,70.1
20/03/2009,69.96
23/03/2009,75.58
24/03/2009,72.81
25/03/2009,72.4
26/03/2009,73.69
27/03/2009,70.52
30/03/2009,71.44
31/03/2009,73.44
01/04/2009,73.5
02/04/2009,76.34
03/04/2009,78.17
06/04/2009,77.99
07/04/2009,75.51
08/04/2009,76.98
09/04/2009,79.77
13/04/2009,78.94
14/04/2009,77.22
15/04/2009,74.71
16/04/2009,77.25
17/04/2009,78.05
20/04/2009,77.57
21/04/2009,78.74
22/04/2009,79.2
23/04/2009,80.61
24/04/2009,84.46
27/04/2009,83.12
28/04/2009,82.4
29/04/2009,79.79
30/04/2009,80.52
01/05/2009,78.96
04/05/2009,79.77
05/05/2009,81.9
06/05/2009,81.99
07/05/2009,79.28
08/05/2009,77.95
11/05/2009,78.61
12/05/2009,77.93
13/05/2009,74.19
14/05/2009,75.11
15/05/2009,73.6
18/05/2009,75.95
19/05/2009,77.87
20/05/2009,77.97
21/05/2009,75.96
22/05/2009,75.64
26/05/2009,78.39
27/05/2009,77.1
28/05/2009,77.65
29/05/2009,77.99
01/06/2009,83.05
02/06/2009,84.93
03/06/2009,85.68
04/06/2009,85.52
05/06/2009,87.56
08/06/2009,86.36
09/06/2009,87.08
10/06/2009,86.59
11/06/2009,85.69
12/06/2009,84.08
15/06/2009,83.18
16/06/2009,82.15
17/06/2009,82.65
18/06/2009,81.6
19/06/2009,82.96
22/06/2009,79.15
23/06/2009,77.68
24/06/2009,79.27
25/06/2009,82.2
26/06/2009,83.88
29/06/2009,83.03
30/06/2009,83.66
01/07/2009,81.6
02/07/2009,79.32
06/07/2009,78.1
07/07/2009,75.63
08/07/2009,77.36
09/07/2009,78.1
10/07/2009,77.63
13/07/2009,81.47
14/07/2009,81.95
15/07/2009,84.55
16/07/2009,86.11
17/07/2009,85.85
20/07/2009,88.23
21/07/2009,89.01
22/07/2009,88.79
23/07/2009,93.87
24/07/2009,86.49
27/07/2009,84.24
28/07/2009,84.98
29/07/2009,84.34
30/07/2009,86.09
31/07/2009,85.76
03/08/2009,87.44
04/08/2009,85.8
05/08/2009,84.29
06/08/2009,84.47
07/08/2009,85.32
10/08/2009,84.44
11/08/2009,83.56
12/08/2009,85.96
13/08/2009,84.6
